id,название,иконка,редкость,цена,клеток,форма_бокс,форма,контейнер,слотов_внутри,только_крафт,в_магазине,класс,теги,кд_сек,стамина,урон_стат,защита_стат,хп_стат,гнёзда,золото_раунд,мин_раунд_магазин,типы_эффектов,типы_мета_эффектов,триггеры,механики_боя,механики_магазина,синергий,синергии,описание,подсказки_билда,оценка_силы,сила_на_клетку,цена_на_клетку,норма_сила_клетка_редкость,отклонение_от_нормы_редкости,отклонение_от_глоб_нормы
hammer,Молот,🔨,rare,8,2,1×2,1×2 (2 кл.),нет,,нет,да,,weapon; melee; stun,2,3,11,0,0,2,0,,damage; slow; applyStun,,on_hit,damage v=11 rng=10-13 | slow v=0.18 | applyStun @on_hit ch=45%,,2,weapon_near_armor strong →armor +blockBonus:1 | weapon_near_poison strong →poison +poisonBonus:1,При попадании: 45% шанс оглушить на 0.5с.,,58,29,4,9.75,2.974,3.452
carrot,Морковь,🥕,rare,3,1,1×1,1×1,нет,,да,нет,rogue,food; luck; nature; craft,2.7,0,0,0,0,0,0,,heal; periodic,,passive,heal v=3 | periodic @passive ch=55% int=2.7,,0,,Каждые 2.7с: снять 1 дебафф. 55% +1 удача.,,9.8,9.8,3,9.75,1.005,1.167
fly_agaric,Мухомор,🍄,rare,3,1,1×1,1×1,нет,,нет,да,,food; poison; nature,4,0,0,0,0,0,0,,buffTimed; periodic,,passive,buffTimed v=0.15 stat=damage | periodic @passive int=3.6,,0,,Каждые 3.6с: +1 яд.,,8.2,8.2,3,9.75,0.841,0.976
chili_pepper,Перец чили,🌶️,rare,5,1,1×1,1×1,нет,,да,нет,mage,food; fire; craft,4.5,0,0,0,0,0,0,,periodic; stackThreshold,,passive,periodic @passive int=4.5 | stackThreshold @passive stack=heat,,0,,Каждые 4.5с: +1 жар и +5 HP. При 10 жара: снять 1 дебафф.,,9.6,9.6,5,9.75,0.985,1.143
gloves_of_haste,Перчатки спешки,🧤⚡,rare,4,1,1×1,1×1,нет,,нет,да,,gloves; accessory; utility; craft,0,0,0,0,0,0,0,,statMult; cooldownStartMult,,passive; battle_start,statMult @passive v=0.08 stat=damage | cooldownStartMult @battle_start v=0.2,,1,migrated_cooldown_20_ both →weapon+pet+food+potion+gem+magic+armor+shield+accessory +cooldownReduction:0.2,В начале боя: предметы срабатывают на 20% быстрее.,,3.3,3.3,4,9.75,0.338,0.393
fanny_pack,Поясная сумка,🎒,rare,3,2,1×2,1×2 (2 кл.),да,2,нет,да,,bag,0,,0,0,0,0,0,,,,,,,0,,Предметы внутри на 10% быстрее.,Универсальный / автономный,0,0,1.5,9.75,0,0
reverse,Реверс!,🃏🔄,rare,3,1,1×1,1×1,нет,,да,нет,,card; craft,3,0,0,0,0,0,0,,buffTimed; gainStack,,battle_start,buffTimed v=0.25 stat=damage | gainStack @battle_start v=2 stack=empower,,0,,В начале боя: +2 усиления.,,11.8,11.8,3,9.75,1.21,1.405
rune_of_protection,Руна защиты,🔷,rare,7,2,1×2,1×2 (2 кл.),нет,,нет,да,,magic,3.5,0,0,0,0,0,0,,shieldBlockMult; block,,passive,shieldBlockMult @passive v=0.38 | block v=6,,1,magic_near_gem strong →gem +cooldownReduction:0.08,,,19.4,9.7,3.5,9.75,0.995,1.155
rune_of_magic,Руна магии,✨,rare,7,2,1×2,1×2 (2 кл.),нет,,нет,да,,magic; gem,3,0,4,0,0,0,0,,statMult; damage,,passive,statMult @passive v=0.35 stat=magicDamage | damage v=4 rng=1-4,,1,magic_near_gem strong →gem +cooldownReduction:0.08,,,14,7,3.5,9.75,0.718,0.833
spell_scroll_frostbolt,Свиток заклинания: Ледяная стрела,📜❄️,rare,4,1,1×1,1×1,нет,,да,нет,mage,accessory; cold; craft,3,0,0,0,0,0,0,,slow; periodic; activationLimit,,passive,slow v=0.12 | periodic @passive int=3 | periodic @passive int=3 | activationLimit @passive tag=cold,,0,,Каждые 3с: 5 маг. урона. До 3+ использований за холод.,,13.4,13.4,4,9.75,1.374,1.595
falcon_blade,Соколиный клинок,🦅,rare,0,2,1×2,1×2 (2 кл.),нет,,да,нет,,weapon,1.4,12,8,0,0,0,0,,damage,,,damage v=8 rng=6-10,,2,weapon_near_armor strong →armor +blockBonus:1 | weapon_near_poison strong →poison +poisonBonus:1,,,44.2,22.1,0,9.75,2.267,2.631
storage_chest,Сундук,📦,rare,7,4,2×2,2×2 (4 кл.),да,4,нет,да,,bag,0,,0,0,0,0,0,5,,,,,,0,,,,0,0,1.75,9.75,0,0
lucky_clover,Счастливый клевер,🍀,rare,2,1,1×1,1×1,нет,,да,нет,rogue,accessory; luck; ranger; nature,0,0,0,0,0,0,0,,statMult; gainStack,,passive; battle_start,statMult @passive v=0.08 stat=damage | gainStack @battle_start v=1 stack=luck,,1,migrated_crit_5_ strong →weapon+pet+food+potion+gem+magic+armor+shield+accessory +damageBonus:1,В начале боя: +1 удача.,,5.5,5.5,2,9.75,0.564,0.655
axe,Топор,🪓,rare,6,2,1×2,1×2 (2 кл.),нет,,да,нет,warrior,weapon; melee; craft,2.2,2,4,0,0,2,0,,damage; gainStack,,on_hit,damage v=4 rng=3-6 | gainStack @on_hit v=1 stack=empower,,2,weapon_near_armor strong →armor +blockBonus:1 | weapon_near_poison strong →poison +poisonBonus:1,При попадании: +1 усиление.,,22.4,11.2,3,9.75,1.149,1.333
shell_totem,Тотем раковины,🗿,rare,5,1,1×1,1×1,нет,,да,нет,,accessory; craft; holy,3.4,0,0,0,0,0,0,,periodic; cooldownMultPerTag,,passive,periodic @passive int=3.4 | cooldownMultPerTag @passive tags=holy,,1,migrated_block_1 strong →weapon+pet+food+potion+gem+magic+armor+shield+accessory +blockBonus:1,"Каждые 3.4с: +8 HP при HP <70%, иначе +1 усиление. Быстрее за святой предмет.",,10.1,10.1,5,9.75,1.036,1.202
ace_of_spades,Туз пик,🃏♠️,rare,3,1,1×1,1×1,нет,,да,нет,,card; craft,3,0,0,0,0,0,0,,buffTimed,,on_hit,buffTimed v=0.25 stat=damage | buffTimed @on_hit v=0.15 ch=50% stat=damage,,0,,При попадании: 50% +15% урона на 4с.,,10.6,10.6,3,9.75,1.087,1.262
torch,Факел,🔦,rare,5,1,1×1,1×1,нет,,да,нет,,accessory; fire; melee; craft,2,0,2,0,0,1,0,,gainStack,,on_hit,gainStack @on_hit v=1 ch=25% stack=empower,,0,,При попадании: 25% +1 усиление.,,3.9,3.9,5,9.75,0.4,0.464
blueberries,Черника,🫐,rare,2,1,1×1,1×1,нет,,нет,да,,food; magic,3.5,0,0,0,0,0,0,,heal; periodic,,passive,heal v=2 | periodic @passive int=3.5,,1,magic_near_gem strong →gem +cooldownReduction:0.08,Каждые 3.5с: +1 к самому слабому стаку (×2 маны при 10+ маны).,,7.5,7.5,2,9.75,0.769,0.893
shelly,Шелли,🐚,rare,6,1,1×1,1×1,нет,,нет,да,,pet; holy,13,0,0,0,0,0,0,,periodic; procChanceBonus; cooldownMultPerTag,,passive,periodic @passive int=13 | procChanceBonus @passive v=0.25 | cooldownMultPerTag @passive tags=potion,,0,,Каждые 13с: снять 6 дебаффов и +40 HP. +25% к снятию дебаффов.,,16.7,16.7,6,9.75,1.713,1.988
spiked_shield,Шипастый щит,🛡️🌵,rare,8,2,2×1,2×1 (2 кл.),нет,,да,нет,,shield; armor; spikes; craft,3,0,0,0,0,1,0,,block; gainStack; onDefend,,on_hit; on_block; passive,block v=5 | gainStack @on_hit v=1 ch=30% stack=spikes | gainStack @on_block v=1 ch=30% stack=spikes | onDefend @passive ch=30%,,0,,При блоке: 30% шанс +1 шип.,,12.3,6.15,4,9.75,0.631,0.732
box_of_riches,Ящик богатства,📦,rare,5,1,1×1,1×1,нет,,нет,да,,accessory; treasure,0,0,0,0,0,0,0,,,generate_gem; offer_tag,shop_enter; shop_pool,,generate_gem @shop_enter | offer_tag @shop_pool tag=gem,0,,При входе в магазин: сгенерировать камень низкого качества. Камни появляются в магазине.,,2.6,2.6,5,9.75,0.267,0.31
squirrel_archer,Белка-лучник,🐿️🏹,epic,9,1,1×1,1×1,нет,,да,нет,,pet; ranged; craft,0,0,0,0,0,0,0,,stealWeaponDamage; cooldownMultPerTag,,on_hit; passive,stealWeaponDamage @on_hit v=1 | cooldownMultPerTag @passive tags=pet+food,,0,,При попадании: украсть 1 урона. Быстрее на 15% за питомца/еду.,,11.6,11.6,9,11.73,0.989,1.381
holdall,Вместительная сумка,🧳,epic,7,6,2×3,2×3 (6 кл.),да,6,нет,нет,,bag,0,,0,0,0,0,0,,,,,,,0,,В начале боя: +8 жара за нейтральный предмет внутри.,Универсальный / автономный,0,0,1.17,11.73,0,0
hungry_blade,Голодный клинок,🗡️🩸,epic,7,2,1×2,1×2 (2 кл.),нет,,нет,да,,weapon; melee; vampiric; craft,1.6,1,4,0,0,1,0,,statMult; damage; gainStack; damagePerStack,,passive; battle_start; on_hit,statMult @passive v=0.08 stat=damage | damage v=4 rng=3-6 | gainStack @battle_start v=1 stack=spikes | gainStack @on_hit v=1 stack=spikes | damagePerStack @passive v=1 stack=spikes,,2,weapon_near_armor strong →armor +blockBonus:1 | weapon_near_poison strong →poison +poisonBonus:1,В начале боя: +1 шип. При попадании: +1 шип. +1 урона за шип.,,35.7,17.85,3.5,11.73,1.522,2.125
dragon_claws,Драконьи когти,🐉🐾,epic,4,1,1×1,1×1,нет,,да,нет,,gloves; accessory; melee; pet; craft,0,0,0,0,0,0,0,,passiveDefense; statMult; procChanceBonus; battleRageLowHp,,passive,passiveDefense @passive v=3 | statMult @passive v=-0.15 stat=cooldown | procChanceBonus @passive v=0.1 | battleRageLowHp @passive,,0,,+10% к прокам. Боевая ярость: предметы на 40% быстрее.,,19.9,19.9,4,11.73,1.697,2.369
draconic_orb,Драконья сфера,🔮🐉,epic,8,1,1×1,1×1,нет,,да,нет,mage,accessory; fire; pyromancer; craft,3.8,0,0,0,0,0,0,,heal; stackThreshold; periodic,,passive,heal v=2 | stackThreshold @passive stack=heat | periodic @passive int=3.8,,0,,При 15 жара: 3 гарантированных крита. Каждые 3.8с: украсть 1 жар.,,12,12,8,11.73,1.023,1.429
dragonscale_armor,Драконья чешуя,🐉🦺,epic,7,4,2×2,2×2 (4 кл.),нет,,да,нет,warrior,armor; melee; pet; craft,0,0,0,2,0,3,0,,passiveDefense; battleRageLowHp,,passive,passiveDefense @passive v=2 | battleRageLowHp @passive,,0,,"При боевой ярости (<50% HP): +45 блока, −8% урона.",,19.3,4.83,1.75,11.73,0.412,0.575
hedgehog,Ёжик,🦔,epic,6,1,1×1,1×1,нет,,да,нет,rogue,pet; spikes; craft,5,0,0,0,0,0,0,,poison; damagePerStack; periodic; hpThreshold; cooldownMultPerTag,,passive,poison v=1 | damagePerStack @passive v=0.5 stack=spikes | periodic @passive int=5 | hpThreshold @passive | cooldownMultPerTag @passive tags=pet+food,,0,,Каждые 5с: 10 маг. урона +0.5 за шип. При HP <70%: +2 шипа и +25 HP (раз).,,13.2,13.2,6,11.73,1.126,1.571
toad,Жаба,🐸,epic,6,1,1×1,1×1,нет,,да,нет,rogue,pet; poison; dark; craft,3.8,0,0,0,0,0,0,,heal; periodic; stackThreshold,,passive,heal v=2 | periodic @passive int=3.8 | stackThreshold @passive stack=empower,,0,,Каждые 3.8с: +1 мана и +1 яд. При 10 усилениях: +12 HP (раз).,,11.8,11.8,6,11.73,1.006,1.405
acorn_collar,Жёлудевой ошейник,🌰,epic,8,1,1×1,1×1,нет,,да,нет,rogue,accessory; luck; craft; nature,0,0,0,0,0,0,0,,passiveLuck; critPerStack,,passive,passiveLuck @passive v=2 | critPerStack @passive v=0.05 stack=luck,,0,,+2 удачи. +5% крит за каждую удачу.,,7,7,8,11.73,0.597,0.833
frozen_buckler,Замёрзший щиток,🛡️❄️,epic,8,2,2×1,2×1 (2 кл.),нет,,да,нет,,shield; armor; cold; craft,3,0,0,0,0,1,0,,slow; groundFire; shieldBlockMult; gainStack; onDefend,,passive; on_block,slow v=0.12 | groundFire v=2 | shieldBlockMult @passive v=0.15 | gainStack @on_block v=3 ch=30% stack=block | onDefend @passive ch=30%,,0,,"Блок +15%. При блоке (30%): −12 урона, −0.9 выносливости, +1 яд.",,12.7,6.35,4,11.73,0.542,0.756
stone_skin_potion,Зелье каменной кожи,🧪🪨,epic,6,1,1×1,1×1,нет,,нет,да,,potion; consumable,3,0,0,0,0,0,0,,buffTimed; stackThreshold,,passive,buffTimed v=0.1 stat=damage | stackThreshold @passive stack=block,,0,,При 45 блока: −15 HP → +30 регена (раз).,,7.3,7.3,6,11.73,0.623,0.869
mana_potion,Зелье маны,🧪🔮,epic,6,1,1×1,1×1,нет,,да,нет,,potion; consumable; magic; craft,3,0,0,0,0,0,0,,buffTimed; hpThreshold,,passive,buffTimed v=0.1 stat=damage | hpThreshold @passive,,1,magic_near_gem strong →gem +cooldownReduction:0.08,При HP ниже 50%: +4 маны и +18 макс. HP (раз).,,3.3,3.3,6,11.73,0.281,0.393
corrupted_crystal,Искажённый кристалл,💎,epic,7,1,1×1,1×1,нет,,нет,да,,accessory; dark,3.9,0,0,0,0,0,0,,statMult; foeHpThreshold; debuffThreshold; periodic,,passive,statMult @passive v=0.05 stat=damage | statMult @passive v=0.08 stat=magicDamage | foeHpThreshold @passive | debuffThreshold @passive | periodic @passive int=3.9,,0,,Противник <30% HP: +50% урона. При 7 дебаффах: +6 к сильнейшему стаку. Каждые 3.9с: +2 яда.,,16.3,16.3,7,11.73,1.39,1.94
claws_of_attack,Когти атаки,🐾⚔️,epic,8,2,2×1,2×1 (2 кл.),нет,,да,нет,,gloves; accessory; spikes; craft,1.6,0.5,4,0,0,1,0,,damage; buffTimed; hitCounter,,on_hit,damage v=4 rng=4-5 | damage v=4 rng=3-5 | buffTimed v=0.25 stat=damage | hitCounter @on_hit,,0,,Каждые 4 попадания: +1 шип.,,54.4,27.2,4,11.73,2.32,3.238
leather_boots,Кожаные сапоги,👢,epic,6,2,1×2,1×2 (2 кл.),нет,,нет,да,,shoes; armor; luck,3,0,0,0,0,1,0,,block; hpThreshold,,passive,block v=5 | hpThreshold @passive,,0,,При HP <70%: +1 удача и +15 блока (раз).,,11.5,5.75,3,11.73,0.49,0.685
wonky_snowman,Кривой снеговик,⛄,epic,8,1,1×1,1×1,нет,,нет,да,,accessory; cold,3,0,0,0,0,0,0,,slow; buffTimed,,on_hit,slow v=0.12 | buffTimed v=0.1 stat=damage | slow @on_hit v=0.12 ch=50%,,0,,50% замедление при попадании.,,7.9,7.9,8,11.73,0.674,0.94
ice_armor,Ледяная броня,🦺❄️,epic,11,6,2×3,2×3 (6 кл.),нет,,да,нет,,armor; cold; craft,4.7,0,0,4,0,2,0,,passiveDefense; heal; gainStack,,passive; battle_start,passiveDefense @passive v=4 | heal v=2 | gainStack @battle_start v=100 stack=block | gainStack @battle_start v=4 stack=block,,0,,В начале боя: +100 блока и +4 блока.,,276,46,1.83,11.73,3.923,5.476
bow_and_arrow,Лук со стрелами,🏹🎯,epic,7,2,1×2,1×2 (2 кл.),нет,,да,нет,rogue,weapon; ranged; craft,1.8,1.2,7,0,0,1,0,,damage; onHitCapBonus,,on_hit,damage v=7 rng=6-9 | onHitCapBonus @on_hit v=1,,2,weapon_near_armor strong →armor +blockBonus:1 | weapon_near_poison strong →poison +poisonBonus:1,При попадании: +1 урона (до 7).,,39.2,19.6,3.5,11.73,1.672,2.333
magic_staff,Магический посох,🪄✨,epic,10,2,1×2,1×2 (2 кл.),нет,,да,нет,,weapon; magic; ranged; craft,2,1,7,0,0,1,0,,damage; spendStack,,on_attack,damage v=7 rng=6-8 | spendStack @on_attack v=3 stack=mana,,4,migrated_cooldown_8_ strong →gem +cooldownReduction:0.08 | weapon_near_armor strong →armor +blockBonus:1 | weapon_near_poison strong →poison +poisonBonus:1 | magic_near_gem strong →gem +cooldownReduction:0.08,При атаке: −3 маны → +6 урона и +2 урона навсегда.,,31.3,15.65,5,11.73,1.335,1.863
oil_lamp,Масляная лампа,🪔,epic,7,1,1×1,1×1,нет,,да,нет,mage,accessory; fire; pyromancer,3.4,0,0,0,0,0,0,,heal; gainStack; periodic,,battle_start; passive,heal v=2 | gainStack @battle_start v=2 stack=heat | periodic @passive int=3.4,,0,,В начале боя: +2 жара. Каждые 3.4с: оружие +1 урона.,,13.2,13.2,7,11.73,1.126,1.571
stamina_sack,Мешок выносливости,🎒,epic,5,3,1×3,1×3 (3 кл.),да,3,нет,да,,bag; stamina,0,,0,0,0,0,0,,,,,,,0,,+3 слота рюкзака. +1 макс. выносливости.,Билд: много оружия / высокая ⚡-стоимость · Пары: Heroic Potion,0,0,1.67,11.73,0,0
miss_fortune,Мисс Фортуна,🐱🍀,epic,7,1,1×1,1×1,нет,,да,нет,rogue,pet; dark; craft,2.1,0,0,0,0,0,0,,heal; periodic,,passive,heal v=2 | periodic @passive int=2.1,,0,,Каждые 2.1с: −1 удача → +3 к самому большому стаку.,,9.6,9.6,7,11.73,0.819,1.143
carrot_goobert,Морковный губерт,🥕,epic,12,1,1×1,1×1,нет,,да,нет,,pet; nature; craft,3,0,0,0,0,0,0,,damage; activationThreshold,,passive,damage v=12 rng=12-12 | activationThreshold @passive,,0,,После 5 активаций: снять 3 дебаффа и +2 усиления.,,32.6,32.6,12,11.73,2.78,3.881
fortunas_hope,Надежда Фортуны,🏹🍀,epic,8,2,1×2,1×2 (2 кл.),нет,,да,нет,,weapon; luck; ranged; craft,1.8,1,3,0,0,1,0,,damage; gainStack,,on_hit,damage v=3 rng=3-4 | gainStack @on_hit v=1 ch=75% stack=luck,,2,weapon_near_armor strong →armor +blockBonus:1 | weapon_near_poison strong →poison +poisonBonus:1,При попадании: 75% шанс +1 удача.,,19.3,9.65,4,11.73,0.823,1.149
unstable_recombobulator,Нестабильный перекомбобулятор,🎰,epic,6,2,2×1,2×1 (2 кл.),нет,,нет,да,,accessory,4,0,0,0,0,0,0,,passiveLuck; buffTimed; periodic,consume_recombo,passive; shop_enter,passiveLuck @passive v=12 | buffTimed v=0.15 stat=damage | periodic @passive int=4,consume_recombo @shop_enter,0,,При входе в магазин: Использовать этот предмет и предметы. Создать другого предметы по на суммарная стоимость. Каждые 4с: Получить 1 случайный бафф и снять 1 дебафф удачи,,44.6,22.3,3,11.73,1.902,2.655
regular_amethyst,Обычный аметист,💎💜,epic,4,1,1×1,1×1,нет,,да,нет,,gem; magic; craft,0,0,0,0,0,0,0,,statMult,,passive,statMult @passive v=0.1 stat=magicDamage,,1,magic_near_gem strong →gem +cooldownReduction:0.08,Обычный аметист: Сокет оружия: Шанс снять баффы на попадание. Сокет аксессуара: +маны. Сокет брони: +магия сопротивление.,,2,2,4,11.73,0.171,0.238
regular_emerald,Обычный изумруд,💎💚,epic,4,1,1×1,1×1,нет,,да,нет,,gem; poison; craft,3,0,0,0,0,0,0,,heal; passiveMaxHp,,passive,heal v=3 | passiveMaxHp @passive v=5,,0,,Обычный изумруд: Сокет оружия: Лечение на попадание. Сокет аксессуара: +макс. ОЗ. Сокет брони: +реген.,,6.4,6.4,4,11.73,0.546,0.762
regular_ruby,Обычный рубин,💎❤️,epic,4,1,1×1,1×1,нет,,да,нет,,gem; fire; craft,0,0,0,0,0,1,0,,groundFire; statMult,,passive,groundFire v=2 | statMult @passive v=0.06 stat=damage,,0,,Обычный рубин: Сокет оружия: Шанс получить Жар на попадание. Сокет аксессуара: +урон. Сокет брони: Сопротивление Холоду.,,7.2,7.2,4,11.73,0.614,0.857
regular_sapphire,Обычный сапфир,💎💙,epic,4,1,1×1,1×1,нет,,да,нет,,gem; cold; craft,3,0,0,0,0,0,0,,slow; statMult,,passive,slow v=0.1 | statMult @passive v=-0.05 stat=cooldown,,0,,Обычный сапфир: Сокет оружия: Шанс наложить Холод на попадание. Сокет аксессуара: +удача. Сокет брони: +блок.,,5.4,5.4,4,11.73,0.461,0.643
regular_topaz,Обычный топаз,💎💛,epic,4,1,1×1,1×1,нет,,да,нет,,gem; luck; craft,0,0,0,0,0,0,0,,statMult,,passive,statMult @passive v=-0.08 stat=cooldown,,0,,Обычный топаз: Сокет оружия: Быстрее атаки. Сокет аксессуара: Предметы срабатывает быстрее. Сокет брони: +выносливости реген.,,3.7,3.7,4,11.73,0.316,0.44
chili_goobert,Острый губерт,🌶️,epic,11,1,1×1,1×1,нет,,да,нет,,pet; fire; craft,0,0,0,0,0,0,0,,groundFire; activationThreshold,,passive,groundFire v=1 | activationThreshold @passive,,0,,После 6 активаций: +12 HP и +2 жара.,,5.6,5.6,11,11.73,0.478,0.667
platinum_customer_card,Платиновая карта покупателя,💳,epic,8,1,1×1,1×1,нет,,да,нет,,accessory; treasure; craft,4,0,0,0,0,0,0,,procChanceBonus; periodic,unique_chance_bonus; bonus_unique,passive; shop_pool,procChanceBonus @passive v=0.1 | periodic @passive int=4,unique_chance_bonus @shop_pool v=0.1 | bonus_unique @shop_pool v=1,0,,+10% к прокам. Каждые 4с: снять 2 дебаффа.,,8,8,8,11.73,0.682,0.952
burning_sword,Пылающий меч,🗡️🔥,epic,13,2,1×2,1×2 (2 кл.),нет,,да,нет,,weapon; melee; fire; craft,1.6,1,3,0,0,1,0,,damage; gainStack; stackThreshold,,on_hit; passive,damage v=3 rng=2-4 | gainStack @on_hit v=1 ch=60% stack=heat | stackThreshold @passive stack=heat,,3,migrated_damage_1_per_5_heat strong →weapon +damageBonus:1 | weapon_near_armor strong →armor +blockBonus:1 | weapon_near_poison strong →poison +poisonBonus:1,При попадании: 60% +1 жар. При 7 жара: оружие +1 урона.,,23.3,11.65,6.5,11.73,0.994,1.387
burning_torch,Пылающий факел,🔥,epic,5,1,1×1,1×1,нет,,да,нет,,accessory; fire; craft,2,0,2,0,0,1,0,,statMult; gainStack,,passive; battle_start; on_hit,statMult @passive v=0.08 stat=damage | gainStack @battle_start v=2 stack=heat | gainStack @on_hit v=1 ch=30% stack=empower,,0,,В начале боя: +2 жара. При попадании: 30% +1 усиление.,,11.8,11.8,5,11.73,1.006,1.405
molten_spear,Раскалённое копьё,🔱🌋,epic,8,2,1×2,1×2 (2 кл.),нет,,да,нет,,weapon; fire; melee; craft,1.5,1.5,5,0,0,1,0,,damage; preventMiss; breakBlockOnHit,,passive; on_hit,damage v=5 rng=3-8 | preventMiss @passive | breakBlockOnHit @on_hit v=5,,2,weapon_near_armor strong →armor +blockBonus:1 | weapon_near_poison strong →poison +poisonBonus:1,Перед промахом: −1 жар → попадание и +5 урона. Снять 5 блока.,,35.3,17.65,4,11.73,1.505,2.101
molten_dagger,Раскалённый кинжал,🔪🌋,epic,6,2,1×2,1×2 (2 кл.),нет,,да,нет,,weapon; fire; melee; craft,3.5,0,5,0,0,1,0,,damage; slow; spendStack; extraAttackOnStun,,on_attack; passive,damage v=5 rng=3-7 | slow v=0.18 | spendStack @on_attack v=1 stack=heat | extraAttackOnStun @passive,,2,weapon_near_armor strong →armor +blockBonus:1 | weapon_near_poison strong →poison +poisonBonus:1,При атаке: −1 жар → +2 урона. Доп. атака при оглушении.,,25.8,12.9,3,11.73,1.1,1.536
dragonskin_boots,Сапоги из драконьей кожи,👢🐉,epic,6,2,1×2,1×2 (2 кл.),нет,,да,нет,warrior,shoes; armor; melee; pet; craft,3,0,0,0,0,1,0,,passiveDefense; heal; battleRageLowHp,,passive,passiveDefense @passive v=3 | heal v=5 | passiveDefense @passive v=4 | heal v=6 | battleRageLowHp @passive,,0,,"При боевой ярости: снять 3 дебаффа, +1 удача, +20 блока.",,33.3,16.65,3,11.73,1.42,1.982
strong_health_potion,Сильное зелье здоровья,🧪💗,epic,8,1,1×1,1×1,нет,,да,нет,,potion; consumable; nature; craft,3,0,0,0,0,0,0,,heal; hpThreshold,,passive,heal v=12 | hpThreshold @passive,,0,,"При HP ниже 50%: +24 HP, +3 регена и снять 4 дебаффа (раз).",,16.8,16.8,8,11.73,1.433,2
white_eyes_blue_dragon,Синий глазами белый дракон,🃏🐉,epic,5,2,2×1,2×1 (2 кл.),нет,,да,нет,,card; pet; craft,3,0,0,0,0,0,0,,buffTimed; groundFire; statMult; gainStack; cardScaledBonus,,passive; battle_start,buffTimed v=0.25 stat=damage | groundFire v=4 | statMult @passive v=0.15 stat=damage | gainStack @battle_start v=12 stack=luck | cardScaledBonus @battle_start stack=luck | gainStack @battle_start v=3 stack=cold,,0,,При открытии: +12 удачи (+5 за карту). +3 холода противнику.,,54.2,27.1,2.5,11.73,2.311,3.226
crossblades,Скрещённые клинки,⚔️,epic,0,3,2×2,2×2 (3 кл.),нет,,да,нет,,weapon,2.6,19,15,0,0,0,0,,damage,,,damage v=15 rng=12-18,,2,weapon_near_armor strong →armor +blockBonus:1 | weapon_near_poison strong →poison +poisonBonus:1,,,48.1,16.03,0,11.73,1.367,1.908
snowball,Снежок,⛄,epic,4,1,1×1,1×1,нет,,нет,да,,accessory; cold; craft,0,0,0,0,0,0,0,,statMult; gainStack,,passive; battle_start,statMult @passive v=0.08 stat=damage | gainStack @battle_start v=2 stack=cold,,0,,В начале боя: наложить 2 холода на противника.,,8.3,8.3,4,11.73,0.708,0.988
mana_orb_charm,Сфера маны (талисман),🔮,epic,6,1,1×1,1×1,нет,,нет,да,,accessory; magic; craft,0,0,0,0,0,0,0,,statMult; onActivate; invulnOnStaminaSpend,,passive,statMult @passive v=0.1 stat=magicDamage | onActivate ch=50% | invulnOnStaminaSpend @passive,,2,migrated_cooldown_8_ strong →magic +cooldownReduction:0.08 | magic_near_gem strong →gem +cooldownReduction:0.08,При активации: 50% +1 мана. −35 выносливости: неуязвимость 2с.,,14.2,14.2,6,11.73,1.211,1.69
lucky_piggy,Счастливая копилка,🐷,epic,7,1,1×1,1×1,нет,,да,нет,,accessory; luck; treasure; craft,0,0,0,0,0,0,1,,passiveLuck; gainStack; procChanceBonus,gain_gold; starred_chance_bonus,passive; battle_start; shop_enter,passiveLuck @passive v=2 | gainStack @battle_start v=2 stack=luck | procChanceBonus @passive v=0.12,gain_gold @shop_enter v=1 | starred_chance_bonus @battle_start v=0.12,0,,В начале боя: +2 удачи. Эффекты на 12% чаще.,,14.2,14.2,7,11.73,1.211,1.69
sir_sand,Сэр Песок,🏖️,epic,5,1,1×1,1×1,нет,,да,нет,,accessory; debuff; melee; craft,0,0,0,0,0,0,0,,statMult; timedDamageReduction; poison,,passive; battle_start,statMult @passive v=0.08 stat=damage | timedDamageReduction @battle_start v=0.25 | poison @battle_start v=3,,0,,В начале боя: оба игрока −25% урона на 7с и +3 яда.,,9.2,9.2,5,11.73,0.785,1.095
flute,Флейта,🎵,epic,6,1,1×1,1×1,нет,,нет,да,,accessory; musical,4.7,0,0,0,0,0,0,,periodic; cooldownMultPerAdjacent,,passive,periodic @passive int=4.7 | cooldownMultPerAdjacent @passive,,0,,"Каждые 4.7с: +14 блока, +2 выносливости или +2 удачи (случайно). На 10% быстрее за соседа (до 60%).",,5.7,5.7,6,11.73,0.486,0.679
cap_of_resilience,Шапка стойкости,🧢💪,epic,7,2,1×2,1×2 (2 кл.),нет,,нет,да,,armor; helmet; craft,0,0,0,0,0,1,0,,statMult; timedDamageReduction,,passive; battle_start,statMult @passive v=0.08 stat=damage | timedDamageReduction @battle_start v=0.25,,0,,В начале боя: Снизить получаемый урон на 25% на 3с. 15% шанс сопротивляться критические удары блока 15% шанс сопротивляться оглушениям блока,,5.6,2.8,3.5,11.73,0.239,0.333
